time;queries_in_system;time_in_queues;rejected_connections;parallel_query;load_ratio;TZ00:00
2025-05-22T09:03:40Z00:00;114;7;0;114;1.78;
2025-05-22T09:04:10Z00:00;94;5;0;94;1.47;
2025-05-22T09:04:40Z00:00;72;1;0;72;1.12;
2025-05-22T09:05:10Z00:00;65;3;0;65;1.02;
2025-05-22T09:05:40Z00:00;84;4;0;84;1.31;
2025-05-22T09:06:10Z00:00;64;2;0;64;1.00;
2025-05-22T09:06:40Z00:00;54;2;0;54;0.84;
2025-05-22T09:07:10Z00:00;72;2;0;72;1.12;
2025-05-22T09:07:40Z00:00;108;1;0;108;1.69;
2025-05-22T09:08:10Z00:00;57;103;0;57;0.89;
2025-05-22T09:08:40Z00:00;127;1;0;127;1.98;
2025-05-22T09:09:10Z00:00;73;5;0;73;1.14;
2025-05-22T09:09:40Z00:00;76;58;0;76;1.19;
2025-05-22T09:10:10Z00:00;67;6;0;67;1.05;
2025-05-22T09:10:40Z00:00;106;4;0;106;1.66;
2025-05-22T09:11:10Z00:00;69;5;0;69;1.08;
2025-05-22T09:11:40Z00:00;60;3;0;60;0.94;
2025-05-22T09:12:10Z00:00;43;10;0;43;0.67;
2025-05-22T09:12:40Z00:00;49;7;0;48;0.75;
2025-05-22T09:13:10Z00:00;60;3;0;60;0.94;
2025-05-22T09:13:40Z00:00;164;155;0;128;2.00;
2025-05-22T09:14:10Z00:00;55;6;0;55;0.86;
2025-05-22T09:14:40Z00:00;52;3;0;52;0.81;
2025-05-22T09:15:10Z00:00;70;8;0;70;1.09;
2025-05-22T09:15:40Z00:00;72;1;0;72;1.12;
2025-05-22T09:16:10Z00:00;66;5;0;66;1.03;
2025-05-22T09:16:40Z00:00;102;2;0;102;1.59;
2025-05-22T09:17:10Z00:00;106;11;0;106;1.66;
2025-05-22T09:17:40Z00:00;125;1;0;125;1.95;
2025-05-22T09:18:10Z00:00;83;5;0;83;1.30;
2025-05-22T09:18:40Z00:00;92;1;0;92;1.44;
2025-05-22T09:19:10Z00:00;112;5;0;112;1.75;
2025-05-22T09:19:40Z00:00;75;3;0;75;1.17;
2025-05-22T09:20:10Z00:00;35;1;0;35;0.55;
2025-05-22T09:20:40Z00:00;60;2;0;60;0.94;
2025-05-22T09:21:10Z00:00;42;16;0;42;0.66;
2025-05-22T09:21:40Z00:00;100;5;0;100;1.56;
2025-05-22T09:22:10Z00:00;75;4;0;75;1.17;
2025-05-22T09:22:40Z00:00;53;6;0;53;0.83;
2025-05-22T09:23:11Z00:00;65;32;0;65;1.02;
2025-05-22T09:23:41Z00:00;81;4;0;81;1.27;
2025-05-22T09:24:11Z00:00;49;7;0;49;0.77;
2025-05-22T09:24:41Z00:00;125;159;0;125;1.95;
2025-05-22T09:25:11Z00:00;48;5;0;48;0.75;
2025-05-22T09:25:41Z00:00;52;6;0;52;0.81;
2025-05-22T09:26:11Z00:00;37;2;0;37;0.58;
2025-05-22T09:26:41Z00:00;57;7;0;57;0.89;
2025-05-22T09:27:11Z00:00;32;6;0;32;0.50;
2025-05-22T09:27:41Z00:00;41;7;0;41;0.64;
2025-05-22T09:28:11Z00:00;60;97;0;60;0.94;
2025-05-22T09:28:41Z00:00;124;45;0;124;1.94;
2025-05-22T09:29:11Z00:00;41;1;0;41;0.64;
2025-05-22T09:29:41Z00:00;53;7;0;53;0.83;
2025-05-22T09:30:11Z00:00;59;2;0;59;0.92;
2025-05-22T09:30:41Z00:00;66;6;0;66;1.03;
2025-05-22T09:31:11Z00:00;107;2;0;107;1.67;
2025-05-22T09:31:41Z00:00;53;7;0;53;0.83;
